Date,GBPUSD,EURUSD,AUDUSD,EURGBP,EURAUD,GBPAUD,JPYUSD,JPYAUD,JPYEUR,JPYGBP,KRWUSD,KRWAUD,KRWEUR,KRWGBP,KRWJPY,HKDUSD,HKDAUD,HKDEUR,HKDGBP,HKDJPY,HKDKRW,TWDUSD,TWDAUD,TWDEUR,TWDGBP,TWDJPY,TWDKRW,TWDHKD
06/06/2022,1.253,1.069,0.719,0.854,1.487,1.742,0.0076,0.0105,0.0071,0.006,0.0008,0.0011,0.0007,0.0006,0.105,0.128,0.177,0.119,0.102,16.818,159.932,0.034,0.0472,0.0318,0.0271,4.482,42.62,0.266
30/05/2022,1.265,1.078,0.719,0.852,1.498,1.759,0.0078,0.0109,0.0073,0.0062,0.0008,0.0011,0.0008,0.0006,0.103,0.127,0.177,0.118,0.101,16.259,157.568,0.0345,0.048,0.032,0.0273,4.402,42.654,0.271
16/05/2022,1.232,1.044,0.698,0.847,1.496,1.767,0.0078,0.0111,0.0074,0.0063,0.0008,0.0011,0.0007,0.0006,0.101,0.127,0.183,0.122,0.103,16.436,163.129,0.0336,0.0482,0.0322,0.0273,4.341,43.086,0.264
02/05/2022,1.25,1.051,0.705,0.841,1.491,1.772,0.0077,0.0109,0.0073,0.0061,0.0008,0.0011,0.0008,0.0006,0.103,0.127,0.181,0.121,0.102,16.585,161.538,0.0339,0.0481,0.0323,0.0272,4.417,43.018,0.266
18/04/2022,1.301,1.078,0.736,0.829,1.465,1.768,0.0079,0.0107,0.0073,0.006,0.0008,0.0011,0.0008,0.0006,0.103,0.128,0.173,0.118,0.098,16.202,157.446,0.0342,0.0465,0.0317,0.0263,4.347,42.245,0.268
04/04/2022,1.311,1.097,0.754,0.837,1.455,1.738,0.0081,0.0108,0.0074,0.0062,0.0008,0.0011,0.0008,0.0006,0.101,0.128,0.169,0.116,0.0973,15.667,155.063,0.0349,0.0463,0.0318,0.0266,4.288,42.443,0.274
21/03/2022,1.317,1.102,0.74,0.837,1.49,1.78,0.0084,0.0113,0.0076,0.0063,0.0008,0.0011,0.0007,0.0006,0.0981,0.128,0.173,0.116,0.097,15.285,155.878,0.0352,0.0476,0.0319,0.0267,4.208,42.916,0.275
07/03/2022,1.311,1.087,0.733,0.829,1.482,1.789,0.0087,0.0118,0.008,0.0066,0.0008,0.0011,0.0007,0.0006,0.0936,0.128,0.174,0.118,0.0975,14.757,157.596,0.0354,0.0482,0.0325,0.027,4.079,43.56,0.276
21/02/2022,1.359,1.131,0.718,0.832,1.574,1.892,0.0087,0.0121,0.0077,0.0064,0.0008,0.0012,0.0007,0.0006,0.0959,0.128,0.178,0.113,0.0943,14.695,153.168,0.0359,0.05,0.0318,0.0264,4.121,42.956,0.28
07/02/2022,1.354,1.144,0.713,0.845,1.605,1.899,0.0087,0.0122,0.0076,0.0064,0.0008,0.0012,0.0007,0.0006,0.0961,0.128,0.18,0.112,0.0948,14.767,153.604,0.036,0.0505,0.0314,0.0266,4.138,43.045,0.28
31/01/2022,1.345,1.123,0.707,0.835,1.589,1.902,0.0087,0.0123,0.0077,0.0065,0.0008,0.0012,0.0007,0.0006,0.0954,0.128,0.182,0.114,0.0954,14.766,154.708,0.036,0.0509,0.0321,0.0268,4.145,43.426,0.281
17/01/2022,1.365,1.141,0.721,0.836,1.582,1.893,0.0087,0.0121,0.0076,0.0064,0.0008,0.0012,0.0007,0.0006,0.0962,0.128,0.178,0.112,0.0941,14.707,152.882,0.0364,0.0505,0.0319,0.0267,4.176,43.407,0.284
03/01/2022,1.348,1.13,0.72,0.838,1.57,1.873,0.0087,0.012,0.0077,0.0064,0.0008,0.0012,0.0007,0.0006,0.0965,0.128,0.178,0.114,0.0951,14.791,153.333,0.0362,0.0503,0.032,0.0268,4.173,43.26,0.282
